iso2,iso3,year,cases,case_type,sex,age_group,country
AF,AFG,1997,0,new_sp,m,014,Afghanistan
AF,AFG,1998,30,new_sp,m,014,Afghanistan
AF,AFG,1999,8,new_sp,m,014,Afghanistan
IN,IND,1995,16,new_sp,m,014,India
IN,IND,1996,47,new_sp,m,014,India
IN,IND,1997,50,new_sp,m,014,India
IN,IND,1998,84,new_sp,m,014,India
IN,IND,1999,327,new_sp,m,014,India
NO,NOR,1995,0,new_sp,m,014,Norway
NO,NOR,1996,3,new_sp,m,014,Norway
NO,NOR,1997,3,new_sp,m,014,Norway
NO,NOR,1998,0,new_sp,m,014,Norway
NO,NOR,1999,0,new_sp,m,014,Norway
IN,IND,2000,1588,new_sp,m,014,India
NO,NOR,2000,0,new_sp,m,014,Norway
AF,AFG,2000,52,new_sp,m,014,Afghanistan
AF,AFG,2001,129,new_sp,m,014,Afghanistan
AF,AFG,2002,90,new_sp,m,014,Afghanistan
AF,AFG,2003,127,new_sp,m,014,Afghanistan
AF,AFG,2004,139,new_sp,m,014,Afghanistan
AF,AFG,2005,151,new_sp,m,014,Afghanistan
AF,AFG,2006,193,new_sp,m,014,Afghanistan
AF,AFG,2007,186,new_sp,m,014,Afghanistan
AF,AFG,2008,187,new_sp,m,014,Afghanistan
AF,AFG,2009,200,new_sp,m,014,Afghanistan
AF,AFG,2010,197,new_sp,m,014,Afghanistan
AF,AFG,2011,204,new_sp,m,014,Afghanistan
AF,AFG,2012,188,new_sp,m,014,Afghanistan
IN,IND,2000,1588,new_sp,m,014,India
IN,IND,2001,1063,new_sp,m,014,India
IN,IND,2002,2551,new_sp,m,014,India
IN,IND,2003,2411,new_sp,m,014,India
IN,IND,2004,3018,new_sp,m,014,India
IN,IND,2005,3185,new_sp,m,014,India
IN,IND,2006,3566,new_sp,m,014,India
IN,IND,2007,4305,new_sp,m,014,India
IN,IND,2008,4648,new_sp,m,014,India
IN,IND,2009,5001,new_sp,m,014,India
IN,IND,2010,4871,new_sp,m,014,India
IN,IND,2011,4649,new_sp,m,014,India
IN,IND,2012,4697,new_sp,m,014,India
NO,NOR,2000,0,new_sp,m,014,Norway
NO,NOR,2001,0,new_sp,m,014,Norway
NO,NOR,2002,0,new_sp,m,014,Norway
NO,NOR,2003,0,new_sp,m,014,Norway
NO,NOR,2004,1,new_sp,m,014,Norway
NO,NOR,2005,0,new_sp,m,014,Norway
NO,NOR,2006,0,new_sp,m,014,Norway
NO,NOR,2008,1,new_sp,m,014,Norway
NO,NOR,2009,0,new_sp,m,014,Norway
NO,NOR,2010,0,new_sp,m,014,Norway
NO,NOR,2011,0,new_sp,m,014,Norway
NO,NOR,2012,1,new_sp,m,014,Norway
AF,AFG,1997,10,new_sp,m,1524,Afghanistan
AF,AFG,1998,129,new_sp,m,1524,Afghanistan
AF,AFG,1999,55,new_sp,m,1524,Afghanistan
IN,IND,1995,334,new_sp,m,1524,India
IN,IND,1996,966,new_sp,m,1524,India
IN,IND,1997,1257,new_sp,m,1524,India
IN,IND,1998,1773,new_sp,m,1524,India
IN,IND,1999,7058,new_sp,m,1524,India
NO,NOR,1995,4,new_sp,m,1524,Norway
NO,NOR,1996,8,new_sp,m,1524,Norway
NO,NOR,1997,6,new_sp,m,1524,Norway
NO,NOR,1998,1,new_sp,m,1524,Norway
NO,NOR,1999,2,new_sp,m,1524,Norway
IN,IND,2000,20963,new_sp,m,1524,India
NO,NOR,2000,1,new_sp,m,1524,Norway
AF,AFG,2000,228,new_sp,m,1524,Afghanistan
AF,AFG,2001,379,new_sp,m,1524,Afghanistan
AF,AFG,2002,476,new_sp,m,1524,Afghanistan
AF,AFG,2003,511,new_sp,m,1524,Afghanistan
AF,AFG,2004,537,new_sp,m,1524,Afghanistan
AF,AFG,2005,606,new_sp,m,1524,Afghanistan
AF,AFG,2006,837,new_sp,m,1524,Afghanistan
AF,AFG,2007,856,new_sp,m,1524,Afghanistan
AF,AFG,2008,941,new_sp,m,1524,Afghanistan
AF,AFG,2009,906,new_sp,m,1524,Afghanistan
AF,AFG,2010,986,new_sp,m,1524,Afghanistan
AF,AFG,2011,1010,new_sp,m,1524,Afghanistan
AF,AFG,2012,1116,new_sp,m,1524,Afghanistan
IN,IND,2000,20963,new_sp,m,1524,India
IN,IND,2001,22483,new_sp,m,1524,India
IN,IND,2002,39923,new_sp,m,1524,India
IN,IND,2003,47251,new_sp,m,1524,India
IN,IND,2004,57208,new_sp,m,1524,India
IN,IND,2005,62620,new_sp,m,1524,India
IN,IND,2006,68346,new_sp,m,1524,India
IN,IND,2007,73947,new_sp,m,1524,India
IN,IND,2008,77121,new_sp,m,1524,India
IN,IND,2009,78177,new_sp,m,1524,India
IN,IND,2010,78278,new_sp,m,1524,India
IN,IND,2011,78096,new_sp,m,1524,India
IN,IND,2012,75502,new_sp,m,1524,India
NO,NOR,2000,1,new_sp,m,1524,Norway
NO,NOR,2001,6,new_sp,m,1524,Norway
NO,NOR,2002,4,new_sp,m,1524,Norway
NO,NOR,2003,3,new_sp,m,1524,Norway
NO,NOR,2004,5,new_sp,m,1524,Norway
NO,NOR,2005,9,new_sp,m,1524,Norway
NO,NOR,2006,5,new_sp,m,1524,Norway
NO,NOR,2007,4,new_sp,m,1524,Norway
NO,NOR,2008,10,new_sp,m,1524,Norway
NO,NOR,2009,6,new_sp,m,1524,Norway
NO,NOR,2010,9,new_sp,m,1524,Norway
NO,NOR,2011,3,new_sp,m,1524,Norway
NO,NOR,2012,8,new_sp,m,1524,Norway
AF,AFG,1997,6,new_sp,m,2534,Afghanistan
AF,AFG,1998,128,new_sp,m,2534,Afghanistan
AF,AFG,1999,55,new_sp,m,2534,Afghanistan
IN,IND,1995,391,new_sp,m,2534,India
IN,IND,1996,1143,new_sp,m,2534,India
IN,IND,1997,1351,new_sp,m,2534,India
IN,IND,1998,2013,new_sp,m,2534,India
IN,IND,1999,8856,new_sp,m,2534,India
NO,NOR,1995,8,new_sp,m,2534,Norway
NO,NOR,1996,7,new_sp,m,2534,Norway
NO,NOR,1997,10,new_sp,m,2534,Norway
NO,NOR,1998,4,new_sp,m,2534,Norway
NO,NOR,1999,5,new_sp,m,2534,Norway
IN,IND,2000,31090,new_sp,m,2534,India
NO,NOR,2000,9,new_sp,m,2534,Norway
