country,year,cases
Afghanistan,1997,128
Afghanistan,1998,1778
Afghanistan,1999,745
Afghanistan,2000,2666
Afghanistan,2001,4639
Afghanistan,2002,6509
Afghanistan,2003,6528
Afghanistan,2004,8245
Afghanistan,2005,9949
Afghanistan,2006,12469
Afghanistan,2007,13213
Afghanistan,2008,13136
Afghanistan,2009,12503
Afghanistan,2010,12947
Afghanistan,2011,15542
Afghanistan,2012,15774
Afghanistan,2013,3454
India,1995,1985
India,1996,6254
India,1997,7708
India,1998,12421
India,1999,52900
India,2000,386298
India,2001,185277
India,2002,351493
India,2003,404884
India,2004,479665
India,2005,508557
India,2006,553797
India,2007,1198289
India,2008,615492
India,2009,624617
India,2010,630164
India,2011,642311
India,2012,629589
Norway,1995,62
Norway,1996,103
Norway,1997,100
Norway,1998,49
Norway,1999,21
Norway,2000,74
Norway,2001,59
Norway,2002,31
Norway,2003,38
Norway,2004,46
Norway,2005,47
Norway,2006,276
Norway,2007,282
Norway,2008,252
Norway,2009,275
Norway,2010,276
Norway,2011,310
Norway,2012,329
Norway,2013,362
